,piece,file,rank,index,probability,count
621,R,d,7,141,0.005927395643486953,86677
273,R,g,3,561,0.005933413512317518,86765
556,q,g,6,268,0.005940115229878828,86863
429,R,d,5,333,0.005961246155658879,87172
572,B,h,6,284,0.0059926348124001196,87631
228,p,d,3,516,0.005993592200623164,87645
201,R,a,3,489,0.006002550618995937,87776
123,r,c,2,603,0.006019783607010735,88028
569,k,h,6,281,0.00602313446579139,88077
498,P,b,6,210,0.0060550702015172275,88544
411,r,c,5,315,0.006063413156032329,88666
204,p,b,3,492,0.006102802842923297,89242
638,b,f,7,158,0.006145064694483399,89860
315,r,c,4,411,0.006158194590113722,90052
713,k,d,8,41,0.006175632732747745,90307
423,r,d,5,327,0.006185069845232039,90445
523,N,d,6,235,0.0062696619332253175,91682
637,n,f,7,157,0.0062875103850977875,91943
525,R,d,6,237,0.006400892504655471,93601
416,B,c,5,320,0.006420587348100955,93889
710,b,d,8,38,0.006456831330830493,94419
216,p,c,3,504,0.006519335104820675,95333
358,Q,f,4,454,0.006580129256983994,96222
436,q,e,5,340,0.006609329597786847,96649
55,N,e,1,727,0.006644547807420265,97164
111,r,b,2,591,0.006677851240607594,97651
199,N,a,3,487,0.006756562229516457,98802
105,R,a,2,585,0.006826793494164069,99829
486,P,a,6,198,0.006912890049364988,101088
192,p,a,3,480,0.006926635408852982,101289
510,P,c,6,222,0.006961922003359476,101805
20,B,b,1,692,0.0070040470851734276,102421
609,R,c,7,129,0.007019775605980586,102651
507,r,c,6,219,0.007040632992268338,102956
34,Q,c,1,706,0.007103547075496968,103876
640,q,f,7,160,0.00713049071548836,104270
722,b,e,8,50,0.007138491745638088,104387
597,R,b,7,117,0.007161469062991153,104723
131,K,c,2,611,0.0071624264512141975,104737
284,B,h,3,572,0.007172479027556163,104884
99,r,a,2,579,0.007175077652732998,104922
570,P,h,6,282,0.0071940886474477364,105200
591,r,b,7,111,0.007200927134755196,105300
688,q,b,8,16,0.007250642937480429,106027
338,b,e,4,434,0.007258233658391709,106138
519,r,d,6,231,0.007263362523872305,106213
322,Q,c,4,418,0.00731342025096291,106945
543,r,f,6,255,0.007314035714820582,106954
58,Q,e,1,730,0.007363751517545814,107681
370,Q,g,4,466,0.007401363197736844,108231
412,q,c,5,316,0.007420374192451582,108509
440,B,e,5,344,0.007444172128281542,108857
333,R,d,4,429,0.007572940844281011,110740
602,b,c,7,122,0.007653771764255186,111922
127,N,c,2,607,0.007706154577030328,112688
346,Q,e,4,442,0.0077116253668762956,112768
67,N,f,1,739,0.007719558012152949,112884
534,P,e,6,246,0.007784865565939191,113839
566,b,h,6,278,0.007808253192530703,114181
225,R,c,3,513,0.007812903363899776,114249
298,Q,a,4,394,0.007822066936891772,114383
585,R,a,7,105,0.007854960060840653,114864
200,B,a,3,488,0.007885664868851148,115313
349,n,f,4,445,0.007907000949250424,115625
605,k,c,7,125,0.007952545274718106,116291
531,r,e,6,243,0.00801121949581611,117149
451,N,f,5,355,0.008158725667038019,119306
379,N,h,4,475,0.008170077555968403,119472
